ts,flow_duration,Header_Length,Source IP,Destination IP,Source Port,Destination Port,Protocol Type,Protocol_name,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,label,subLabel,subLabelCat
1701581789.040482,30.39080595970153,7160,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.9542359632862072,0.9542359632862072,0.0,0,0,0,0,1,0,0,0,0,4,0,12,27,1701581789.040482,1701581758.649676,49345871032.30647,1701581759.7347057,5.538402443982697,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1036,66,84,74.0,7.309485031694876,66,0.0638620853424072,14,808448,12.16552506059644,10.337172865786023,53.42857142857143,1.0,196,0,0,0,0,30.2849600315094,30.39080595970153,1,discovery,permission groups discovery
1701581789.042594,30.39291787147522,7226,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.9870720582624946,0.9870720582624946,0.0,0,0,0,0,1,0,0,0,0,4,0,12,28,1701581789.042594,1701581758.649676,51047452821.34906,1701581760.7116354,7.571577810990504,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1102,66,84,73.46666666666667,7.338180216435742,66,0.0021119117736816,15,808448,12.121606054204754,10.37775398522136,53.8488888888889,1.0,225,0,0,0,0,0.0021119117736816,30.39291787147522,1,discovery,permission groups discovery
1701581789.043251,30.393574953079224,7292,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,1.0199524092791636,1.0199524092791636,0.0,0,0,0,0,1,0,0,0,0,4,0,12,29,1701581789.043251,1701581758.649676,52749034610.39231,1701581761.6255584,8.974248548806715,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1168,66,84,73.0,7.33143914930759,66,0.0006570816040039,16,808448,12.083045973594572,10.36822067666386,53.75,1.0,256,0,0,0,0,0.0006570816040039,30.393574953079224,1,discovery,permission groups discovery
1701581789.045363,30.395686864852905,7358,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,1.052780946924486,1.052780946924486,0.0,0,0,0,0,1,0,0,0,0,4,0,12,30,1701581789.045363,1701581758.649676,54450616399.43768,1701581762.4824274,10.038989227447903,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1234,66,84,72.58823529411765,7.300755992517743,66,0.0021119117736816,17,808448,12.048919893012622,10.32482814019524,53.30103806228372,1.0,289,0,0,0,0,0.0021119117736816,30.395686864852905,1,discovery,permission groups discovery
1701581819.759845,61.11016893386841,7424,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.5400083255490852,0.5400083255490852,0.0,0,0,0,0,1,0,0,0,0,4,0,12,31,1701581819.759845,1701581758.649676,56152198219.19752,1701581764.2181065,13.933053245776122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1038,66,85,74.14285714285714,7.510536816054238,66,0.1687359809875488,14,808448,12.17726218350062,10.621503025966346,56.40816326530613,1.0,196,0,0,0,0,30.714482069015503,61.11016893386841,1,discovery,permission groups discovery
1701581819.761957,61.11228084564209,7490,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.5563529871496284,0.5563529871496284,0.0,0,0,0,0,1,0,0,0,0,4,0,12,32,1701581819.761957,1701581758.649676,57853780038.95947,1701581765.8517492,16.627996946738985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1104,66,85,73.6,7.534808115229832,66,0.0021119117736816,15,808448,12.13260071048248,10.655827826436886,56.773333333333326,1.0,225,0,0,0,0,0.0021119117736816,61.11228084564209,1,discovery,permission groups discovery
1701581819.762684,61.11300802230835,7556,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.5727094956154637,0.5727094956154637,0.0,0,0,0,0,1,0,0,0,0,4,0,12,33,1701581819.762684,1701581758.649676,59555361858.72216,1701581767.3920617,18.68843707763037,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1170,66,85,73.125,7.523920188306094,66,0.0007271766662597,16,808448,12.093386622447824,10.640429972515207,56.609375,1.0,256,0,0,0,0,0.0007271766662597,61.11300802230835,1,discovery,permission groups discovery
1701581819.764796,61.11511993408203,7622,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.5890522678975207,0.5890522678975207,0.0,0,0,0,0,1,0,0,0,0,4,0,12,34,1701581819.764796,1701581758.649676,61256943678.48695,1701581768.84686,20.337930050617825,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1236,66,85,72.70588235294117,7.489323427247876,66,0.0021119117736816,17,808448,12.058680056535309,10.591502763812496,56.08996539792388,1.0,289,0,0,0,0,0.0021119117736816,61.11511993408203,1,discovery,permission groups discovery
1701581834.666081,76.01640486717224,7688,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.4867370413616927,0.4867370413616927,0.0,1,0,0,0,1,0,0,0,1,4,0,12,35,1701581834.666081,1701581758.649676,62958525513.15304,1701581770.6257577,22.72385015946733,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,132,66,66,66.0,0.0,66,0.0174088478088378,2,808448,11.489125293076055,0.0,0.0,0.0,4,0,0,0,0,14.90128493309021,76.01640486717224,1,discovery,permission groups discovery
1701581834.668193,76.0185170173645,7754,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.4998782071915434,0.4998782071915434,0.0,1,0,0,0,1,0,0,0,2,4,0,12,36,1701581834.668193,1701581758.649676,64660107347.82123,1701581772.311085,24.655156185878763,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,198,66,66,66.0,0.0,66,0.0021121501922607,3,808448,11.489125293076055,0.0,0.0,0.0,9,0,0,0,0,0.0021121501922607,76.0185170173645,1,discovery,permission groups discovery
